step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
154,CASH_IN,29046.78,C619232145,47143.23,76190.01,C539864500,453151.17,424104.39,0,0
477,PAYMENT,2402.36,C388072117,19206.4,16804.04,M437471402,0.0,0.0,0,0
682,PAYMENT,3580.13,C425394874,43642.55,40062.42,M384583775,0.0,0.0,0,0
359,PAYMENT,871.08,C568785695,11609.67,10738.59,M747250848,0.0,0.0,0,0
253,TRANSFER,202147.37,C511495469,226234.27,24086.9,C102077720,69740.28,271887.65,0,0
186,PAYMENT,715.44,C266165112,12116.84,11401.4,M151111094,0.0,0.0,0,0
688,PAYMENT,11022.01,C102123076,49153.26,38131.25,M133618229,0.0,0.0,0,0
501,PAYMENT,856.53,C980718227,48543.83,47687.3,M541010855,0.0,0.0,0,0
159,PAYMENT,984.75,C455361900,13714.85,12730.1,M877899081,0.0,0.0,0,0
615,CASH_OUT,51852.98,C904553777,66070.76,14217.78,C760210767,26799.73,78652.71,0,0
448,CASH_OUT,320463.21,C137813742,335473.43,15010.22,C782541769,244013.25,564476.46,0,0
546,CASH_IN,20161.09,C331604339,54836.04,74997.13,C133010178,9884.74,0.0,0,0
260,CASH_OUT,56923.2,C455552021,147929.18,91005.98,C663627955,318303.26,375226.46,0,0
250,CASH_OUT,118038.12,C405484484,144756.92,26718.8,C708827525,26630.42,144668.54,0,0
561,CASH_IN,38880.82,C668749360,248412.62,287293.44,C869834738,176166.01,137285.19,0,0
484,CASH_OUT,14102.61,C685755977,45582.83,31480.22,C723797740,121385.62,135488.23,0,0
84,CASH_OUT,69460.25,C397156896,226983.11,157522.86,C609261305,84876.56,154336.81,0,0
187,PAYMENT,2837.73,C636234536,43532.4,40694.67,M934536099,0.0,0.0,0,0
559,CASH_OUT,1252060.81,C171267207,1252060.81,0.0,C697030749,0.0,0.0,1,0
62,PAYMENT,8360.45,C677906919,8632.51,272.06,M890136101,0.0,0.0,0,0
520,PAYMENT,1272.73,C683877130,19749.95,18477.22,M947525553,0.0,0.0,0,0
498,CASH_OUT,11895.14,C374102473,61974.63,50079.49,C992991600,97872.61,109767.75,0,0
39,CASH_OUT,583861.82,C846166473,592996.5,9134.68,C114769615,0.0,583861.82,1,0
561,CASH_IN,1782.05,C932912874,8030.52,9812.57,C841197856,337233.06,335451.01,0,0
286,CASH_OUT,72899.64,C764506197,89038.71,16139.07,C962743753,24918.14,97817.78,0,0
703,CASH_OUT,141422.14,C896243382,212170.89,70748.75,C315280858,33723.93,175146.07,0,0
137,TRANSFER,69016.63,C514001020,141990.34,72973.71,C140897915,7164.83,76181.46,0,0
31,TRANSFER,162797.22,C767104250,518900.05,356102.83,C725206320,228634.49,391431.71,0,0
656,PAYMENT,4008.13,C676282967,76507.53,72499.4,M732717712,0.0,0.0,0,0
500,CASH_OUT,32511.91,C434966450,113794.07,81282.16,C725906335,1192.22,33704.13,0,0
17,CASH_OUT,51811.18,C398095454,93544.05,41293.05493210828,C491497542,360548.57,412359.75,0,0
276,CASH_OUT,104676.69,C623502653,104676.69,0.0,C116770468,16780.02,0.0,1,0
615,TRANSFER,154172.79,C436636052,299849.3,145676.51,C365136239,154641.71,308814.5,0,0
517,PAYMENT,703.2,C577388748,7992.11,7288.91,M743299148,0.0,0.0,0,0
678,CASH_OUT,67381.53,C814603130,97007.91,29626.38,C980038505,7002.87,74384.4,0,0
281,PAYMENT,668.47,C803850009,2521.58,1853.11,M427796971,0.0,0.0,0,0
593,CASH_OUT,114594.33,C138264795,247986.29,133391.96,C892577221,122844.85,237439.18,0,0
403,PAYMENT,478.16,C813628044,17270.67,16792.51,M449511254,0.0,0.0,0,0
638,CASH_IN,86562.0,C320184824,189989.3,276551.3,C317619155,72788.84,0.0,0,0
640,PAYMENT,643.29,C974841026,4797.78,4154.49,M371010036,0.0,0.0,0,0
733,CASH_IN,211191.51,C397498323,90956.11,302147.62,C957356161,63795.73,0.0,0,0
227,CASH_OUT,116777.0,C108490827,356902.52,240125.52,C598410932,164858.94,281635.94,0,0
660,CASH_OUT,11715.7,C781068543,37045.83,25330.13,C784085324,6391.44,18107.14,0,0
668,CASH_IN,11553.77,C415979469,28531.03,40084.8,C592691735,176798.41,165244.64,0,0
369,PAYMENT,525.05,C174358658,12907.34,12382.29,M501816335,0.0,0.0,0,0
346,CASH_IN,3477.56,C157877509,189497.79,192975.35,C255307320,321426.03,317948.47,0,0
711,PAYMENT,342.65,C192834326,12550.56,12207.91,M638604332,0.0,0.0,0,0
704,CASH_IN,58530.45,C513059076,125401.7,183932.15,C154292251,28457.38,0.0,0,0
355,PAYMENT,1100.25,C599932299,22837.04,21736.79,M172701067,0.0,0.0,0,0
701,CASH_IN,16362.75,C159717947,5705.16,22067.91,C392568544,45628.37,29265.62,0,0
449,PAYMENT,7212.25,C593088985,12712.53,5500.28,M101258450,0.0,0.0,0,0
276,CASH_IN,27341.55,C484173407,136815.91,164157.46,C344616013,3115.36,0.0,0,0
534,CASH_IN,13092.84,C164611225,311851.44,324944.28,C330678692,162118.23,149025.39,0,0
474,PAYMENT,442.67,C774391388,5243.76,4801.09,M358730708,0.0,0.0,0,0
591,PAYMENT,911.78,C365526714,3626.75,2714.97,M364515509,0.0,0.0,0,0
49,CASH_IN,161585.7,C511641963,88140.67,249726.37,C381016510,288294.92,126709.22,0,0
106,PAYMENT,1822.15,C739850892,19803.88,17981.73,M892788521,0.0,0.0,0,0
444,PAYMENT,4298.77,C201155464,45208.74,40909.97,M117686970,0.0,0.0,0,0
155,PAYMENT,5359.47,C853777148,35401.07,30041.6,M157164450,0.0,0.0,0,0
494,PAYMENT,198.22,C308032737,38447.8,38249.58,M824271165,0.0,0.0,0,0
